x,C3,C10,C25,C50,C75,C90,C97,mu,sigma,nu
115.0303030303,19.5414461742,23.059051579000002,27.091964932899998,32.176536376,37.9534461098,43.795621221400005,50.2071132348,32.16471013818854,0.24970952078753797,0.2371725498407956
117.24242424239999,19.874261937300002,23.4424199931,27.523757920799998,32.6559853861,38.4704829336,44.3343844944,50.7525678945,32.65595874463087,0.24806964278223897,0.25393530120850505
119.4545454545,20.2061701007,23.8242533391,27.953091988,33.131642385300005,38.9821544648,44.8662769406,51.2897314606,33.131620399688515,0.2463791737776097,0.2657294999788202
121.6666666667,20.5371619378,24.2045365864,28.379953005900003,33.6035073738,39.4884920381,45.3913733466,51.818733165,33.60349089043841,0.2447003142051522,0.2775378574709554
123.8787878788,20.867228440399998,24.583254564,28.8043268775,34.0715803516,39.9895263565,45.9097464804,52.339697925699994,34.071631802814906,0.24303174811598882,0.289385413585152
126.0909090909,21.1963603182,24.960391962800003,29.2261995392,34.5358613185,40.4852875071,46.4214671603,52.852746529499996,34.53583760249251,0.24137673578058882,0.3011568846890771
128.30303030299999,21.524547998600003,25.335933339,29.6455569621,34.9963502746,40.9758049758,46.9266043208,53.3579958045,34.996321619369226,0.2397317639357502,0.3129636209001342
130.51515151520002,21.851781626799998,25.709863116799998,30.062385154,35.45304722,41.461107661999996,47.4252250748,53.8555587842,35.45306154367049,0.23809809329936013,0.32478395568434526
132.7272727273,22.1780510656,26.0821655915,30.476670160900003,35.9059521546,41.9412238926,47.917394774899996,54.3455448635,35.90594245846536,0.23647574459754933,0.3365785808330592
134.9393939394,22.5033458955,26.452824932600002,30.8883980685,36.3550650784,42.416181436,48.4031770709,54.8280599464,36.35506100727599,0.2348643668912621,0.34839334448794645
137.1515151515,22.8276554155,26.821825186999998,31.297555004,36.8003859915,42.886007515100005,48.8826339654,55.3032065871,36.80040879495351,0.23326310434884448,0.3602268707539852
139.3636363636,23.150968642800002,27.1891502817,31.7041271373,37.2419148937,43.3507288201,49.355825867600004,55.7710841236,37.24196525537205,0.2316743798650211,0.3720372034495578
141.5757575758,23.4732743141,27.554784027800004,32.108100683,37.6796517852,43.8103715216,49.8228116441,56.231788805,37.67962437648458,0.23009573403665573,0.383820227950486
143.7878787879,23.7945608859,27.9187101229,32.5094619014,38.113596665900005,44.264961282200005,50.28364866850001,56.68541391310001,38.11360579083757,0.22852814152148176,0.3956458626698448
146.0,24.1148165354,28.2809121548,32.908197100100004,38.543749535799996,44.7145232685,50.738392868599995,57.1320498775,38.54372951752276,0.2269709640105127,0.407458351616064
148.2121212121,24.4340291615,28.641373604699996,33.3042926357,38.9701103949,45.1590821629,51.1870987721,57.571784385600004,38.97011715261065,0.22542387431890498,0.41925864307237726
150.4242424242,24.7521863862,29.000077850500002,33.6977349151,39.3926792433,45.5986621742,51.6298195501,58.0047024876,39.39269392699752,0.22388756905002888,0.4310682006849464
152.6363636364,25.0692755554,29.357008170300002,34.0885103965,39.8114560808,46.0332870487,52.066607059300004,58.4308866964,39.81149238053071,0.22236210755534727,0.4428877994746272
154.8484848485,25.3852837407,29.7121477456,34.4766055913,40.2264409076,46.4629800809,52.4975118824,58.8504170829,40.226411251796165,0.220847691914487,0.45469231203981264
157.0606060606,25.7001977408,30.0654796646,34.8620070652,40.637633723600004,46.887764123500006,52.92258336729999,59.263371367,40.63763741535281,0.21934182687231008,0.4664960709942666
159.2727272727,26.014004083099998,30.4169869262,35.2447014395,41.0450345288,47.3076615975,53.341869664200004,59.6698250045,41.04501412738499,0.21784774465697548,0.4782903588686715
161.48484848479998,26.3266890256,30.7666524428,35.6246753923,41.4486433233,47.722694501599996,53.755417762,60.06985127,41.448666226526754,0.21636315090096558,0.49012033868856986
163.69696969700001,26.6382385592,31.114459044,36.00191566,41.8484601069,48.1328844221,54.163273523,60.4635213363,41.848469632195716,0.21488914892735583,0.5019362619801387
165.9090909091,26.948638409,31.4603894803,36.3764090383,42.2444848798,48.538252541599995,54.5654817163,60.8509043499,42.24448620853863,0.2134244735592088,0.5137470586467288
168.12121212120002,27.2578740373,31.8044264263,36.748142383499996,42.6367176419,48.9388196481,54.96208605020001,61.2320675036,42.636712324840666,0.21197027236330274,0.5255236259374949
170.3333333333,27.565930645599998,32.1465524845,37.117102613600004,43.025158393199995,49.334606143500004,55.3531292029,61.607076105699996,43.02517993829197,0.2105255293670667,0.5373492492188179
172.54545454549998,27.8727931773,32.4867501886,37.4832767094,43.4098071338,49.725632052399995,55.738652853199994,61.975993646300005,43.40980270717529,0.2090912385794571,0.5491774052852835
174.7575757576,28.1784463201,32.825002007100004,37.846651716,43.7906638635,50.1119170298,56.1186977088,62.3388818607,43.79068171901278,0.20766656440819786,0.5609787069070867
176.9696969697,28.4828745089,33.1612903471,38.207214743200005,44.1677285825,50.4934803695,56.4933035342,62.6958007901,44.167736690592655,0.20625116706640534,0.5727728261756684
179.1818181818,28.786061928600002,33.4955975573,38.5649529674,44.541001290699995,50.870341011499995,56.862509178,63.046808839899995,44.54099372098973,0.20484579399310981,0.5845882492641588
181.39393939389998,29.0879925175,33.8279059324,38.9198536316,44.9104819881,51.24251755,57.226352598599995,63.391962835,44.91046223144396,0.20344980987268546,0.5963833524448459
183.60606060610002,29.38864997,34.1581977157,39.2719040476,45.276170674700005,51.6100282403,57.584870889099996,63.731318073999994,45.27616646247998,0.20206365740822207,0.6081964886848962
185.8181818182,29.6880177398,34.4864551033,39.621091596,45.638067350600004,51.972891006400005,57.938100301800006,64.0649283795,45.63803862513031,0.20068676309207417,0.6200109840599812
188.0303030303,29.9860790439,34.812660247800004,39.9674037276,45.9961720156,52.3311234475,58.286076271300004,64.3928461479,45.996182948596214,0.19931959028459018,0.6318408520568285
190.2424242424,30.282816865700003,35.136795260999996,40.3108279642,46.3504846699,52.684742845200006,58.6288334371,64.7151223959,46.350483919278844,0.1979610108284473,0.6436401596355192
192.45454545450002,30.578213958400003,35.458842218600005,40.6513518995,46.7010053134,53.0337661702,58.966405665699995,65.0318068064,46.700985079111405,0.19661242332363973,0.655454104582301
194.6666666667,30.872252849499997,35.7787831627,40.9889632003,47.0477339462,53.378210088100005,59.298826071099995,65.3429477714,47.047758177118496,0.19527248778698797,0.6672532201088361
196.8787878788,31.164915843699998,36.0966001061,41.3236496067,47.390670568100006,53.718090966700004,59.62612703560001,65.6485924335,47.390651336913564,0.193941599944236,0.679050099620158
199.0909090909,31.456185027800004,36.4122750353,41.6553989334,47.729815179300005,54.0534248811,59.9483402293,65.94878672649999,47.7298370155779,0.19261996483091698,0.6908904896821031
201.30303030299999,31.7460422743,36.7257899145,41.9841990704,48.065167779700005,54.3842276205,60.2654966291,66.2435754136,48.065157750272235,0.19130833995592533,0.7026738204905696
203.51515151520002,32.0344692453,37.0371266885,42.310037983600004,48.3967283693,54.7105146934,60.577626537200004,66.5330021239,48.396756477708486,0.1900041640562472,0.7145141741523884
205.7272727273,32.3214473975,37.3462672869,42.6329037157,48.724496948100004,55.0323013338,60.8847595988,66.8171093887,48.724500107842275,0.1887102320088334,0.7262702608834137
207.9393939394,32.6069579862,37.6531936268,42.952784386800005,49.048473516099996,55.349602506400004,61.1869248193,67.0959386752,49.048445732202396,0.1874236444853895,0.7380959886477435
210.1515151515,32.890982069699994,37.957887617,43.2696681953,49.3686580734,55.6624329122,61.484150581,67.3695304191,49.36861290279948,0.18614695754278499,0.7499127000123538
212.3636363636,33.173500513899995,38.2603311608,43.583543418199994,49.6850506199,55.970806993500005,61.7764646594,67.6379240571,49.685063455494905,0.18487779170677726,0.7617232314359864
214.57575757580003,33.4544939972,38.5605061596,43.894398412,49.9976511556,56.2747389395,62.0638942384,67.9011580562,49.99762598221281,0.1836179154423203,0.7735059312431678
216.7878787879,33.733943015,38.8583945167,44.2022216133,50.306459680500005,56.5742426908,62.3464659259,68.1592699439,50.30644882806298,0.1823667193634656,0.7853372493292696
219.0,34.0118278846,39.1539781399,44.5070015392,50.6114761946,56.8693319446,62.624205768,68.4122963359,50.6114767726817,0.18112427283933058,0.7971638124725442
